sample_label,clusters2
c2g1s1,82
c2g1s2,82
c2g1s3,82
c2g1s4,82
c2g1s5,82
c2g1s6,82
c2g1s7,82
c2g1s8,82
c2g1s9,82
c2g1s10,82
c2g1s11,82
c2g1s12,82
c2g1s13,82
c2g1s14,82
c2g1s15,82
c2g1s16,82
c2g1s17,82
c2g1s18,82
c2g1s19,82
c2g1s20,82
c2g1s21,82
c2g1s22,82
c2g1s23,82
c2g1s24,82
c2g1s25,82
c2g1s26,82
c2g1s27,82
c2g1s28,82
c2g1s29,82
c2g1s30,82
c2g1s31,82
c2g1s32,82
c2g1s33,82
c2g1s34,82
c2g1s35,82
c2g1s36,82
c2g1s37,82
c2g1s38,82
c2g1s39,82
c2g1s40,82
c2g1s41,82
c2g1s42,82
c2g1s43,82
c2g1s44,82
c2g1s45,82
c2g1s46,82
c2g1s47,82
c2g1s48,82
c2g1s49,82
c2g1s50,82
c2g1s51,82
c2g1s52,82
c2g1s53,82
c2g1s54,82
c2g1s55,82
c2g1s56,82
c2g1s57,82
c2g1s58,82
c2g1s59,82
c2g1s60,82
c2g1s61,82
c2g1s62,82
c2g1s63,82
c2g1s64,82
c2g1s65,82
c2g1s66,82
c2g1s67,82
c2g1s68,82
c2g1s69,82
c2g1s70,82
c2g1s71,82
c2g1s72,82
c2g1s73,82
c2g1s74,82
c2g1s75,82
c2g1s76,82
c2g1s77,82
c2g1s78,82
c2g1s79,82
c2g1s80,82
c2g1s81,82
c2g1s82,82
c2g1s83,82
c2g1s84,82
c2g1s85,82
c2g1s86,82
c2g1s87,82
c2g1s88,82
c2g1s89,82
c2g1s90,82
c2g1s91,82
c2g1s92,82
c2g1s93,82
c2g1s94,82
c2g1s95,82
c2g1s96,82
c2g1s97,82
c2g1s98,82
c2g1s99,82
c2g1s100,82
c2g1s101,82
c2g1s102,82
c2g1s103,82
c2g1s104,82
c2g1s105,82
c2g1s106,82
c2g1s107,82
c2g1s108,82
c2g1s109,82
c2g1s110,82
c2g1s111,82
c2g1s112,82
c2g1s113,82
c2g1s114,82
c2g1s115,82
c2g1s116,82
c2g1s117,82
c2g1s118,82
c2g1s119,82
c2g1s120,82
c2g1s121,82
c2g1s122,82
c2g1s123,82
c2g1s124,82
c2g1s125,82
c2g1s126,82
c2g1s127,82
c2g1s128,82
c2g1s129,82
c2g1s130,82
c2g1s131,82
c2g1s132,82
c2g1s133,82
c2g1s134,82
c2g1s135,82
c2g1s136,82
c2g1s137,82
c2g1s138,82
c2g1s139,82
c2g1s140,82
c2g1s141,82
c2g1s142,82
c2g1s143,82
c2g1s144,82
c2g1s145,82
c2g1s146,82
c2g1s147,82
c2g1s148,82
c2g1s149,82
c2g1s150,82
c2g1s151,82
c2g1s152,82
c2g1s153,82
c2g1s154,82
c2g1s155,82
c2g1s156,82
c2g1s157,82
c2g1s158,82
c2g1s159,82
c2g1s160,82
c2g1s161,82
c2g1s162,82
c2g1s163,82
c2g1s164,82
c2g1s165,82
c2g1s166,82
c2g1s167,82
c2g1s168,82
c2g1s169,82
c2g1s170,82
c2g1s171,82
c2g1s172,82
c2g1s173,82
c2g1s174,82
c2g1s175,82
c2g1s176,82
c2g1s177,82
c2g1s178,82
c2g1s179,82
c2g1s180,82
c2g1s181,82
c2g1s182,82
c2g1s183,82
c2g1s184,82
c2g1s185,82
