sample_label,clusters3
c2sp1s1,1
c2sp1s2,1
c2sp1s3,1
c2sp1s4,122
c2sp1s5,122
c2sp1s6,122
c2sp1s7,122
c2sp1s8,122
c2sp1s9,1
c2sp1s10,1
c2sp1s11,1
c2sp1s12,1
c2sp1s13,1
c2sp1s14,1
c2sp1s15,1
c2sp1s16,1
c2sp1s17,122
c2sp1s18,122
c2sp1s19,122
c2sp1s20,1
c2sp1s21,1
c2sp1s22,1
c2sp1s23,122
c2sp1s24,122
c2sp1s25,122
c2sp1s26,122
c2sp1s27,122
c2sp1s28,1
c2sp1s29,1
c2sp1s30,1
c2sp1s31,1
c2sp1s32,122
c2sp1s33,1
c2sp1s34,122
c2sp1s35,122
c2sp1s36,122
c2sp1s37,122
c2sp1s38,1
c2sp1s39,1
c2sp1s40,1
c2sp1s41,1
c2sp1s42,122
c2sp1s43,122
c2sp1s44,122
c2sp1s45,122
c2sp1s46,122
c2sp1s47,1
c2sp1s48,1
c2sp1s49,122
c2sp1s50,122
c2sp1s51,1
c2sp1s52,1
c2sp1s53,122
c2sp1s54,122
c2sp1s55,1
c2sp1s56,122
c2sp1s57,1
c2sp1s58,122
c2sp1s59,1
c2sp1s60,1
c2sp1s61,1
c2sp1s62,122
c2sp1s63,122
c2sp1s64,1
c2sp1s65,1
c2sp1s66,1
c2sp1s67,1
c2sp1s68,122
c2sp1s69,122
c2sp1s70,122
c2sp1s71,122
c2sp1s72,1
c2sp1s73,1
c2sp1s74,1
c2sp1s75,1
c2sp1s76,1
c2sp1s77,1
c2sp1s78,1
c2sp1s79,122
c2sp1s80,122
c2sp1s81,1
c2sp1s82,1
c2sp1s83,122
c2sp1s84,1
c2sp1s85,122
c2sp1s86,122
c2sp1s87,1
c2sp1s88,1
c2sp1s89,122
c2sp1s90,1
c2sp1s91,1
c2sp1s92,122
c2sp1s93,1
c2sp1s94,1
c2sp1s95,122
c2sp1s96,1
c2sp1s97,1
c2sp1s98,122
c2sp1s99,1
c2sp1s100,1
c2sp1s101,1
c2sp1s102,122
c2sp1s103,122
c2sp1s104,122
c2sp1s105,1
c2sp1s106,1
c2sp1s107,1
c2sp1s108,122
c2sp1s109,122
c2sp1s110,1
c2sp1s111,1
c2sp1s112,1
c2sp1s113,1
c2sp1s114,122
c2sp1s115,122
c2sp1s116,1
c2sp1s117,1
c2sp1s118,122
c2sp1s119,1
c2sp1s120,122
c2sp1s121,1
c2sp1s122,1
c2sp1s123,1
c2sp1s124,1
c2sp1s125,122
c2sp1s126,122
c2sp1s127,122
c2sp1s128,122
c2sp1s129,1
c2sp1s130,122
c2sp1s131,1
c2sp1s132,1
c2sp1s133,122
c2sp1s134,1
c2sp1s135,122
c2sp1s136,122
c2sp1s137,122
c2sp1s138,1
c2sp1s139,122
c2sp1s140,1
c2sp1s141,1
c2sp1s142,1
c2sp1s143,1
c2sp1s144,1
c2sp1s145,122
c2sp1s146,122
c2sp1s147,1
c2sp1s148,122
c2sp1s149,1
c2sp1s150,1
c2sp1s151,1
c2sp1s152,1
c2sp1s153,122
c2sp1s154,122
c2sp1s155,122
c2sp1s156,1
c2sp1s157,1
c2sp1s158,122
c2sp1s159,1
c2sp1s160,122
c2sp1s161,122
c2sp1s162,1
c2sp1s163,122
c2sp1s164,1
c2sp1s165,1
c2sp1s166,122
c2sp1s167,1
c2sp1s168,122
c2sp1s169,1
c2sp1s170,1
c2sp1s171,122
c2sp1s172,1
c2sp1s173,1
c2sp1s174,122
c2sp1s175,122
c2sp1s176,1
c2sp1s177,1
c2sp1s178,122
c2sp1s179,122
c2sp1s180,122
c2sp1s181,1
c2sp1s182,122
c2sp1s183,122
c2sp1s184,1
c2sp1s185,1
c2sp1s186,1
c2sp1s187,122
c2sp1s188,122
c2sp1s189,122
c2sp1s190,122
c2sp1s191,1
c2sp1s192,1
c2sp1s193,1
c2sp1s194,122
c2sp1s195,1
c2sp1s196,122
c2sp1s197,1
c2sp1s198,1
c2sp1s199,122
c2sp1s200,1
c2sp1s201,122
c2sp1s202,122
c2sp1s203,122
c2sp1s204,1
c2sp1s205,122
c2sp1s206,122
c2sp1s207,122
c2sp1s208,122
c2sp1s209,1
c2sp1s210,122
c2sp1s211,1
c2sp1s212,1
c2sp1s213,1
c2sp1s214,122
c2sp1s215,1
c2sp1s216,1
c2sp1s217,1
c2sp1s218,122
c2sp1s219,1
c2sp1s220,1
c2sp1s221,1
c2sp1s222,122
c2sp1s223,1
c2sp1s224,122
c2sp1s225,122
c2sp1s226,122
c2sp1s227,1
c2sp1s228,1
c2sp1s229,122
c2sp1s230,122
c2sp1s231,122
c2sp1s232,122
c2sp1s233,122
c2sp1s234,1
c2sp1s235,1
c2sp1s236,122
c2sp1s237,1
c2sp1s238,1
c2sp1s239,1
c2sp1s240,1
c2sp1s241,122
c2sp1s242,1
c2sp1s243,1
c2sp1s244,122
c2sp1s245,122
c2sp1s246,1
c2sp1s247,122
c2sp1s248,122
c2sp1s249,1
c2sp1s250,122
c2sp1s251,1
c2sp1s252,1
c2sp1s253,1
c2sp1s254,122
c2sp1s255,122
c2sp1s256,122
c2sp1s257,122
c2sp1s258,1
c2sp1s259,1
c2sp1s260,1
c2sp1s261,122
c2sp1s262,1
c2sp1s263,122
c2sp1s264,122
c2sp1s265,1
c2sp1s266,1
c2sp1s267,1
c2sp1s268,1
c2sp1s269,1
c2sp1s270,122
c2sp1s271,122
c2sp1s272,1
c2sp1s273,1
c2sp1s274,122
c2sp1s275,122
c2sp1s276,122
c2sp1s277,122
c2sp1s278,1
c2sp1s279,122
c2sp1s280,1
c2sp1s281,1
c2sp1s282,122
c2sp1s283,122
c2sp1s284,122
c2sp1s285,122
c2sp1s286,122
c2sp1s287,122
c2sp1s288,122
c2sp1s289,1
c2sp1s290,1
c2sp1s291,122
c2sp1s292,1
c2sp1s293,1
c2sp1s294,122
c2sp1s295,122
c2sp1s296,1
c2sp1s297,122
c2sp1s298,122
c2sp1s299,1
c2sp1s300,1
c2sp1s301,1
c2sp1s302,1
c2sp1s303,1
c2sp1s304,1
c2sp1s305,122
c2sp1s306,1
c2sp1s307,1
c2sp1s308,1
c2sp1s309,1
c2sp1s310,1
c2sp1s311,122
c2sp1s312,1
c2sp1s313,122
c2sp1s314,1
c2sp1s315,122
c2sp1s316,1
c2sp1s317,122
c2sp1s318,122
