sample_label,centroid10
monkeyc1g1s1,7
monkeyc1g1s2,5
monkeyc1g1s3,5
monkeyc1g1s4,6
monkeyc1g1s5,6
monkeyc1g1s6,6
monkeyc1g1s7,6
monkeyc1g1s8,6
monkeyc1g1s9,7
monkeyc1g1s10,7
monkeyc1g1s11,5
monkeyc1g1s12,5
monkeyc1g1s13,5
monkeyc1g1s14,5
monkeyc1g1s15,5
monkeyc1g1s16,7
monkeyc1g1s17,6
monkeyc1g1s18,6
monkeyc1g1s19,6
monkeyc1g1s20,5
monkeyc1g1s21,5
monkeyc1g1s22,5
monkeyc1g1s23,6
monkeyc1g1s24,6
monkeyc1g1s25,6
monkeyc1g1s26,6
monkeyc1g1s27,6
monkeyc1g1s28,6
monkeyc1g1s29,7
monkeyc1g1s30,5
monkeyc1g1s31,5
monkeyc1g1s32,6
monkeyc1g1s33,7
monkeyc1g1s34,6
monkeyc1g1s35,6
monkeyc1g1s36,6
monkeyc1g1s37,6
monkeyc1g1s38,5
monkeyc1g1s39,5
monkeyc1g1s40,6
monkeyc1g1s41,5
monkeyc1g1s42,6
monkeyc1g1s43,6
monkeyc1g1s44,6
monkeyc1g1s45,6
monkeyc1g1s46,6
monkeyc1g1s47,6
monkeyc1g1s48,5
monkeyc1g1s49,6
monkeyc1g1s50,6
monkeyc1g1s51,5
monkeyc1g1s52,5
monkeyc1g1s53,6
monkeyc1g1s54,6
monkeyc1g1s55,5
monkeyc1g1s56,6
monkeyc1g1s57,3
monkeyc1g1s58,7
monkeyc1g1s59,5
monkeyc1g1s60,5
monkeyc1g1s61,5
monkeyc1g1s62,6
monkeyc1g1s63,5
monkeyc1g1s64,5
monkeyc1g1s65,7
monkeyc1g1s66,9
monkeyc1g1s67,7
monkeyc1g1s68,5
monkeyc1g1s69,6
monkeyc1g1s70,5
monkeyc1g1s71,6
monkeyc1g1s72,7
monkeyc1g1s73,7
monkeyc1g1s74,7
monkeyc1g1s75,5
monkeyc1g1s76,7
monkeyc1g1s77,6
monkeyc1g1s78,7
monkeyc1g1s79,6
monkeyc1g1s80,6
monkeyc1g1s81,5
monkeyc1g1s82,5
monkeyc1g1s83,6
monkeyc1g1s84,5
monkeyc1g1s85,6
monkeyc1g1s86,6
monkeyc1g1s87,7
monkeyc1g1s88,7
monkeyc1g1s89,6
monkeyc1g1s90,3
monkeyc1g1s91,7
monkeyc1g1s92,6
monkeyc1g1s93,5
monkeyc1g1s94,5
monkeyc1g1s95,6
monkeyc1g1s96,7
monkeyc1g1s97,7
monkeyc1g1s98,6
monkeyc1g1s99,5
monkeyc1g1s100,6
monkeyc1g1s101,5
monkeyc1g1s102,6
monkeyc1g1s103,6
monkeyc1g1s104,6
monkeyc1g1s105,5
monkeyc1g1s106,5
monkeyc1g1s107,7
monkeyc1g1s108,6
monkeyc1g1s109,6
monkeyc1g1s110,6
monkeyc1g1s111,5
monkeyc1g1s112,5
monkeyc1g1s113,6
monkeyc1g1s114,6
monkeyc1g1s115,6
monkeyc1g1s116,5
monkeyc1g1s117,5
monkeyc1g1s118,6
monkeyc1g1s119,5
monkeyc1g1s120,6
monkeyc1g1s121,7
monkeyc1g1s122,5
monkeyc1g1s123,3
monkeyc1g1s124,7
monkeyc1g1s125,6
monkeyc1g1s126,6
monkeyc1g1s127,6
monkeyc1g1s128,6
monkeyc1g1s129,7
monkeyc1g1s130,7
monkeyc1g1s131,5
monkeyc1g1s132,3
monkeyc1g1s133,6
monkeyc1g1s134,7
monkeyc1g1s135,6
monkeyc1g1s136,6
monkeyc1g1s137,6
monkeyc1g1s138,5
monkeyc1g1s139,6
monkeyc1g1s140,7
monkeyc1g1s141,5
monkeyc1g1s142,5
monkeyc1g1s143,6
monkeyc1g1s144,5
monkeyc1g1s145,6
monkeyc1g1s146,6
monkeyc1g1s147,5
monkeyc1g1s148,6
monkeyc1g1s149,5
monkeyc1g1s150,5
monkeyc1g1s151,7
monkeyc1g1s152,7
monkeyc1g1s153,6
monkeyc1g1s154,6
monkeyc1g1s155,6
monkeyc1g1s156,7
monkeyc1g1s157,3
monkeyc1g1s158,7
monkeyc1g1s159,7
monkeyc1g1s160,5
monkeyc1g1s161,6
monkeyc1g1s162,5
monkeyc1g1s163,6
monkeyc1g1s164,7
monkeyc1g1s165,6
monkeyc1g1s166,6
monkeyc1g1s167,5
monkeyc1g1s168,6
monkeyc1g1s169,5
monkeyc1g1s170,7
monkeyc1g1s171,5
monkeyc1g1s172,6
monkeyc1g1s173,5
monkeyc1g1s174,6
monkeyc1g1s175,5
monkeyc1g1s176,7
monkeyc1g1s177,7
monkeyc1g1s178,6
monkeyc1g1s179,6
monkeyc1g1s180,6
monkeyc1g1s181,5
monkeyc1g1s182,6
monkeyc1g1s183,6
monkeyc1g1s184,7
monkeyc1g1s185,5
monkeyc1g1s186,5
monkeyc1g1s187,6
monkeyc1g1s188,6
monkeyc1g1s189,6
monkeyc1g1s190,6
monkeyc1g1s191,5
monkeyc1g1s192,5
monkeyc1g1s193,7
monkeyc1g1s194,5
monkeyc1g1s195,5
monkeyc1g1s196,6
monkeyc1g1s197,7
monkeyc1g1s198,5
monkeyc1g1s199,6
monkeyc1g1s200,6
monkeyc1g1s201,6
monkeyc1g1s202,6
monkeyc1g1s203,6
monkeyc1g1s204,5
monkeyc1g1s205,6
monkeyc1g1s206,6
monkeyc1g1s207,6
monkeyc1g1s208,6
monkeyc1g1s209,5
monkeyc1g1s210,6
monkeyc1g1s211,5
monkeyc1g1s212,5
monkeyc1g1s213,7
monkeyc1g1s214,6
monkeyc1g1s215,6
monkeyc1g1s216,5
monkeyc1g1s217,6
monkeyc1g1s218,5
monkeyc1g1s219,7
monkeyc1g1s220,5
monkeyc1g1s221,5
monkeyc1g1s222,6
monkeyc1g1s223,7
monkeyc1g1s224,6
monkeyc1g1s225,6
monkeyc1g1s226,6
monkeyc1g1s227,3
monkeyc1g1s228,6
monkeyc1g1s229,7
monkeyc1g1s230,6
monkeyc1g1s231,6
monkeyc1g1s232,6
monkeyc1g1s233,6
monkeyc1g1s234,5
monkeyc1g1s235,5
monkeyc1g1s236,6
monkeyc1g1s237,7
monkeyc1g1s238,7
monkeyc1g1s239,7
monkeyc1g1s240,5
monkeyc1g1s241,6
monkeyc1g1s242,5
monkeyc1g1s243,5
monkeyc1g1s244,7
monkeyc1g1s245,6
monkeyc1g1s246,5
monkeyc1g1s247,6
monkeyc1g1s248,6
monkeyc1g1s249,7
monkeyc1g1s250,6
monkeyc1g1s251,5
monkeyc1g1s252,6
monkeyc1g1s253,5
monkeyc1g1s254,6
monkeyc1g1s255,6
monkeyc1g1s256,6
monkeyc1g1s257,7
monkeyc1g1s258,5
monkeyc1g1s259,5
monkeyc1g1s260,5
monkeyc1g1s261,6
monkeyc1g1s262,5
monkeyc1g1s263,6
monkeyc1g1s264,6
monkeyc1g1s265,5
monkeyc1g1s266,7
monkeyc1g1s267,5
monkeyc1g1s268,6
monkeyc1g1s269,5
monkeyc1g1s270,7
monkeyc1g1s271,6
monkeyc1g1s272,5
monkeyc1g1s273,5
monkeyc1g1s274,6
monkeyc1g1s275,6
monkeyc1g1s276,6
monkeyc1g1s277,6
monkeyc1g1s278,7
monkeyc1g1s279,6
monkeyc1g1s280,5
monkeyc1g1s281,5
monkeyc1g1s282,6
monkeyc1g1s283,6
monkeyc1g1s284,5
monkeyc1g1s285,6
monkeyc1g1s286,7
monkeyc1g1s287,6
monkeyc1g1s288,6
monkeyc1g1s289,5
monkeyc1g1s290,5
monkeyc1g1s291,6
monkeyc1g1s292,7
monkeyc1g1s293,5
monkeyc1g1s294,6
monkeyc1g1s295,6
monkeyc1g1s296,5
monkeyc1g1s297,6
monkeyc1g1s298,6
monkeyc1g1s299,5
monkeyc1g1s300,5
monkeyc1g1s301,5
monkeyc1g1s302,6
monkeyc1g1s303,9
monkeyc1g1s304,5
monkeyc1g1s305,5
monkeyc1g1s306,7
monkeyc1g1s307,5
monkeyc1g1s308,5
monkeyc1g1s309,5
monkeyc1g1s310,7
monkeyc1g1s311,7
monkeyc1g1s312,5
monkeyc1g1s313,6
monkeyc1g1s314,5
monkeyc1g1s315,6
monkeyc1g1s316,5
monkeyc1g1s317,6
monkeyc1g1s318,6
monkeyc1g1s319,5
monkeyc1g1s320,5
monkeyc1g1s321,7
monkeyc1g1s322,6
monkeyc1g1s323,7
monkeyc1g1s324,7
monkeyc1g1s325,5
monkeyc1g1s326,7
monkeyc1g1s327,5
monkeyc1g1s328,5
monkeyc1g1s329,6
monkeyc1g1s330,6
monkeyc1g1s331,3
monkeyc1g1s332,5
monkeyc1g1s333,7
monkeyc1g1s334,7
monkeyc1g1s335,6
monkeyc1g1s336,6
monkeyc1g1s337,6
monkeyc1g1s338,6
monkeyc1g1s339,5
monkeyc1g1s340,5
monkeyc1g1s341,5
monkeyc1g1s342,5
monkeyc1g1s343,6
monkeyc1g1s344,5
monkeyc1g1s345,5
monkeyc1g1s346,6
monkeyc1g1s347,5
monkeyc1g1s348,6
monkeyc1g1s349,6
monkeyc1g1s350,5
monkeyc1g1s351,5
monkeyc1g1s352,7
monkeyc1g1s353,7
monkeyc1g1s354,6
monkeyc1g1s355,5
monkeyc1g1s356,7
monkeyc1g1s357,6
monkeyc1g1s358,7
monkeyc1g1s359,6
monkeyc1g1s360,6
monkeyc1g1s361,5
monkeyc1g1s362,6
monkeyc1g1s363,5
monkeyc1g1s364,5
monkeyc1g1s365,6
monkeyc1g1s366,5
monkeyc1g1s367,5
monkeyc1g1s368,5
monkeyc1g1s369,3
monkeyc1g1s370,6
monkeyc1g1s371,7
monkeyc1g1s372,5
monkeyc1g1s373,5
monkeyc1g1s374,5
monkeyc1g1s375,5
monkeyc1g1s376,5
monkeyc1g1s377,6
monkeyc1g1s378,6
monkeyc1g1s379,6
monkeyc1g1s380,6
monkeyc1g1s381,5
monkeyc1g1s382,6
monkeyc1g1s383,6
monkeyc1g1s384,6
monkeyc1g1s385,5
monkeyc1g1s386,7
monkeyc1g1s387,6
monkeyc1g1s388,7
monkeyc1g1s389,5
monkeyc1g1s390,6
monkeyc1g1s391,6
monkeyc1g1s392,5
monkeyc1g1s393,3
monkeyc1g1s394,5
monkeyc1g1s395,3
monkeyc1g1s396,6
monkeyc1g1s397,6
monkeyc1g1s398,5
monkeyc1g1s399,6
monkeyc1g1s400,5
monkeyc1g1s401,5
monkeyc1g1s402,5
monkeyc1g1s403,5
monkeyc1g1s404,5
monkeyc1g1s405,7
monkeyc1g1s406,6
monkeyc1g1s407,5
monkeyc1g1s408,6
monkeyc1g1s409,6
monkeyc1g1s410,6
monkeyc1g1s411,7
monkeyc1g1s412,6
monkeyc1g1s413,7
monkeyc1g1s414,6
monkeyc1g1s415,5
monkeyc1g1s416,6
monkeyc1g1s417,6
monkeyc1g1s418,6
monkeyc1g1s419,6
monkeyc1g1s420,7
monkeyc1g1s421,6
monkeyc1g1s422,6
monkeyc1g1s423,7
monkeyc1g1s424,6
monkeyc1g1s425,6
monkeyc1g1s426,6
monkeyc1g1s427,7
monkeyc1g1s428,6
monkeyc1g1s429,5
monkeyc1g1s430,6
monkeyc1g1s431,6
monkeyc1g1s432,6
monkeyc1g1s433,5
monkeyc1g1s434,5
monkeyc1g1s435,3
monkeyc1g1s436,7
monkeyc1g1s437,7
monkeyc1g1s438,6
monkeyc1g1s439,5
monkeyc1g1s440,5
monkeyc1g1s441,6
monkeyc1g1s442,6
monkeyc1g1s443,6
monkeyc1g1s444,6
monkeyc1g1s445,7
monkeyc1g1s446,6
monkeyc1g1s447,5
monkeyc1g1s448,6
monkeyc1g1s449,6
monkeyc1g1s450,7
monkeyc1g1s451,5
monkeyc1g1s452,6
monkeyc1g1s453,6
monkeyc1g1s454,5
monkeyc1g1s455,7
monkeyc1g1s456,6
monkeyc1g1s457,6
monkeyc1g1s458,5
monkeyc1g1s459,7
monkeyc1g1s460,6
monkeyc1g1s461,5
monkeyc1g1s462,6
monkeyc1g1s463,5
monkeyc1g1s464,5
monkeyc1g1s465,7
monkeyc1g1s466,6
monkeyc1g1s467,6
monkeyc1g1s468,5
monkeyc1g1s469,5
monkeyc1g1s470,5
monkeyc1g1s471,6
monkeyc1g1s472,5
monkeyc1g1s473,7
monkeyc1g1s474,6
monkeyc1g1s475,5
monkeyc1g1s476,7
monkeyc1g1s477,5
monkeyc1g1s478,6
monkeyc1g1s479,6
monkeyc1g1s480,3
monkeyc1g1s481,5
monkeyc1g1s482,5
monkeyc1g1s483,5
monkeyc1g1s484,6
monkeyc1g1s485,6
monkeyc1g1s486,5
monkeyc1g1s487,5
monkeyc1g1s488,6
monkeyc1g1s489,5
monkeyc1g1s490,7
monkeyc1g1s491,5
monkeyc1g1s492,5
monkeyc1g1s493,6
monkeyc1g1s494,6
monkeyc1g1s495,6
monkeyc1g1s496,5
monkeyc1g1s497,6
monkeyc1g1s498,6
monkeyc1g1s499,7
monkeyc1g1s500,6
monkeyc2g2s501,7
monkeyc2g2s502,7
monkeyc2g2s503,7
monkeyc2g2s504,3
monkeyc2g2s505,7
monkeyc2g2s506,7
monkeyc2g2s507,7
monkeyc2g2s508,7
monkeyc2g2s509,7
monkeyc2g2s510,7
monkeyc2g2s511,7
monkeyc2g2s512,7
monkeyc2g2s513,7
monkeyc2g2s514,7
monkeyc2g2s515,3
monkeyc2g2s516,7
monkeyc2g2s517,7
monkeyc2g2s518,7
monkeyc2g2s519,7
monkeyc2g2s520,7
monkeyc2g2s521,7
monkeyc2g2s522,7
monkeyc2g2s523,7
monkeyc2g2s524,7
monkeyc2g2s525,7
monkeyc2g2s526,7
monkeyc2g2s527,7
monkeyc2g2s528,7
monkeyc2g2s529,7
monkeyc2g2s530,7
monkeyc2g2s531,7
monkeyc2g2s532,7
monkeyc2g2s533,7
monkeyc2g2s534,7
monkeyc2g2s535,7
monkeyc2g2s536,7
monkeyc2g2s537,7
monkeyc2g2s538,7
monkeyc2g2s539,7
monkeyc2g2s540,7
monkeyc2g2s541,7
monkeyc2g2s542,7
monkeyc2g2s543,7
monkeyc2g2s544,7
monkeyc2g2s545,7
monkeyc2g2s546,7
monkeyc2g2s547,7
monkeyc2g2s548,7
monkeyc2g2s549,7
monkeyc2g2s550,7
monkeyc2g2s551,7
monkeyc2g2s552,7
monkeyc2g2s553,3
monkeyc2g2s554,7
monkeyc2g2s555,7
monkeyc2g2s556,7
monkeyc2g2s557,7
monkeyc2g2s558,7
monkeyc2g2s559,7
monkeyc2g2s560,7
monkeyc2g2s561,7
monkeyc2g2s562,3
monkeyc2g2s563,7
monkeyc2g2s564,7
monkeyc2g2s565,7
monkeyc2g2s566,7
monkeyc2g2s567,7
monkeyc2g2s568,7
monkeyc2g2s569,7
monkeyc2g2s570,7
monkeyc2g2s571,7
monkeyc2g2s572,3
monkeyc2g2s573,7
monkeyc2g2s574,7
monkeyc2g2s575,7
monkeyc2g2s576,7
monkeyc2g2s577,7
monkeyc2g2s578,7
monkeyc2g2s579,7
monkeyc2g2s580,7
monkeyc2g2s581,7
monkeyc2g2s582,7
monkeyc2g2s583,3
monkeyc2g2s584,7
monkeyc2g2s585,7
monkeyc2g2s586,7
monkeyc2g2s587,7
monkeyc2g2s588,7
monkeyc2g2s589,7
monkeyc2g2s590,7
monkeyc2g2s591,7
monkeyc2g2s592,7
monkeyc2g2s593,7
monkeyc2g2s594,7
monkeyc2g2s595,3
monkeyc2g2s596,7
monkeyc2g2s597,7
monkeyc2g2s598,7
monkeyc2g2s599,3
monkeyc2g2s600,7
monkeyc2g2s601,7
monkeyc2g2s602,7
monkeyc2g2s603,7
monkeyc2g2s604,7
monkeyc2g2s605,7
monkeyc2g2s606,3
monkeyc2g2s607,7
monkeyc2g2s608,7
monkeyc2g2s609,7
monkeyc2g2s610,7
monkeyc2g2s611,7
monkeyc2g2s612,3
monkeyc2g2s613,7
monkeyc2g2s614,7
monkeyc2g2s615,7
monkeyc2g2s616,7
monkeyc2g2s617,7
monkeyc2g2s618,7
monkeyc2g2s619,7
monkeyc2g2s620,7
monkeyc2g2s621,7
monkeyc2g2s622,7
monkeyc2g2s623,3
monkeyc2g2s624,3
monkeyc2g2s625,3
monkeyc2g2s626,7
monkeyc2g2s627,7
monkeyc2g2s628,7
monkeyc2g2s629,7
monkeyc2g2s630,7
monkeyc2g2s631,7
monkeyc2g2s632,7
monkeyc2g2s633,3
monkeyc2g2s634,7
monkeyc2g2s635,7
monkeyc2g2s636,7
monkeyc2g2s637,7
monkeyc2g2s638,7
monkeyc2g2s639,7
monkeyc2g2s640,7
monkeyc2g2s641,7
monkeyc2g2s642,7
monkeyc2g2s643,7
monkeyc2g2s644,7
monkeyc2g2s645,7
monkeyc2g2s646,7
monkeyc2g2s647,7
monkeyc2g2s648,7
monkeyc2g2s649,7
monkeyc2g2s650,7
monkeyc2g2s651,7
monkeyc2g2s652,7
monkeyc2g2s653,7
monkeyc2g2s654,7
monkeyc2g2s655,7
monkeyc2g2s656,7
monkeyc2g2s657,7
monkeyc2g2s658,3
monkeyc2g2s659,7
