sample_label,centroid
c2sp1s1,4
c2sp1s2,4
c2sp1s3,1
c2sp1s4,1
c2sp1s5,1
c2sp1s6,1
c2sp1s7,1
c2sp1s8,1
c2sp1s9,1
c2sp1s10,1
c2sp1s11,1
c2sp1s12,1
c2sp1s13,4
c2sp1s14,1
c2sp1s15,1
c2sp1s16,1
c2sp1s17,1
c2sp1s18,1
c2sp1s19,1
c2sp1s20,1
c2sp1s21,1
c2sp1s22,1
c2sp1s23,1
c2sp1s24,4
c2sp1s25,1
c2sp1s26,1
c2sp1s27,1
c2sp1s28,1
c2sp1s29,1
c2sp1s30,1
c2sp1s31,1
c2sp1s32,1
c2sp1s33,1
c2sp1s34,1
c2sp1s35,4
c2sp1s36,1
c2sp1s37,0
c2sp1s38,0
c2sp1s39,0
c2sp1s40,0
c2sp1s41,0
c2sp1s42,0
c2sp1s43,0
c2sp1s44,0
c2sp1s45,0
c2sp1s46,4
c2sp1s47,0
c2sp1s48,0
c2sp1s49,0
c2sp1s50,0
c2sp1s51,0
c2sp1s52,0
c2sp1s53,0
c2sp1s54,0
c2sp1s55,0
c2sp1s56,0
c2sp1s57,4
c2sp1s58,0
c2sp1s59,0
c2sp1s60,0
c2sp1s61,0
c2sp1s62,0
c2sp1s63,0
c2sp1s64,0
c2sp1s65,0
c2sp1s66,0
c2sp1s67,0
c2sp1s68,4
c2sp1s69,0
c2sp1s70,0
c2sp1s71,0
c2sp1s72,0
c2sp1s73,0
c2sp1s74,0
c2sp1s75,0
c2sp1s76,0
c2sp1s77,0
c2sp1s78,0
c2sp1s79,4
c2sp1s80,0
c2sp1s81,0
c2sp1s82,0
c2sp1s83,0
c2sp1s84,0
c2sp1s85,0
c2sp1s86,0
c2sp1s87,0
c2sp1s88,0
c2sp1s89,0
c2sp1s90,4
c2sp1s91,0
c2sp1s92,0
c2sp1s93,3
c2sp1s94,3
c2sp1s95,3
c2sp1s96,3
c2sp1s97,3
c2sp1s98,3
c2sp1s99,3
c2sp1s100,3
c2sp1s101,4
c2sp1s102,3
c2sp1s103,3
c2sp1s104,3
c2sp1s105,3
c2sp1s106,3
c2sp1s107,3
c2sp1s108,3
c2sp1s109,3
c2sp1s110,3
c2sp1s111,3
c2sp1s112,4
c2sp1s113,4
c2sp1s114,3
c2sp1s115,3
c2sp1s116,3
c2sp1s117,3
c2sp1s118,3
c2sp1s119,3
c2sp1s120,3
c2sp1s121,3
c2sp1s122,3
c2sp1s123,3
c2sp1s124,4
c2sp1s125,3
c2sp1s126,3
c2sp1s127,3
c2sp1s128,3
c2sp1s129,3
c2sp1s130,3
c2sp1s131,3
c2sp1s132,3
c2sp1s133,3
c2sp1s134,3
c2sp1s135,4
c2sp1s136,3
c2sp1s137,3
c2sp1s138,3
c2sp1s139,3
c2sp1s140,3
c2sp1s141,3
c2sp1s142,3
c2sp1s143,3
c2sp1s144,3
c2sp1s145,3
c2sp1s146,4
c2sp1s147,3
c2sp1s148,3
c2sp1s149,3
c2sp1s150,3
c2sp1s151,3
c2sp1s152,3
c2sp1s153,3
c2sp1s154,3
c2sp1s155,3
c2sp1s156,3
c2sp1s157,4
c2sp1s158,3
c2sp1s159,3
c2sp1s160,3
c2sp1s161,3
c2sp1s162,3
c2sp1s163,3
c2sp1s164,3
c2sp1s165,3
c2sp1s166,3
c2sp1s167,3
c2sp1s168,4
c2sp1s169,3
c2sp1s170,3
c2sp1s171,3
c2sp1s172,3
c2sp1s173,3
c2sp1s174,3
c2sp1s175,3
c2sp1s176,3
c2sp1s177,3
c2sp1s178,3
c2sp1s179,4
c2sp1s180,3
c2sp1s181,3
c2sp1s182,3
c2sp1s183,3
c2sp1s184,3
c2sp1s185,3
c2sp1s186,3
c2sp1s187,3
c2sp1s188,3
c2sp1s189,3
c2sp1s190,4
c2sp1s191,3
c2sp1s192,3
c2sp1s193,3
c2sp1s194,3
c2sp1s195,3
c2sp1s196,3
c2sp1s197,3
c2sp1s198,3
c2sp1s199,4
c2sp1s200,4
c2sp1s201,4
c2sp1s202,4
c2sp1s203,4
c2sp1s204,4
c2sp1s205,4
c2sp1s206,4
c2sp1s207,4
c2sp1s208,4
c2sp1s209,4
c2sp1s210,4
c2sp1s211,4
c2sp1s212,4
c2sp1s213,4
c2sp1s214,4
c2sp1s215,4
