sample_label,cluster
c2sp1s1,0
c2sp1s10,9
c2sp1s100,3
c2sp1s101,0
c2sp1s102,3
c2sp1s103,3
c2sp1s104,3
c2sp1s105,3
c2sp1s106,3
c2sp1s107,3
c2sp1s108,3
c2sp1s109,3
c2sp1s11,9
c2sp1s110,3
c2sp1s111,3
c2sp1s112,0
c2sp1s113,0
c2sp1s114,3
c2sp1s115,3
c2sp1s116,3
c2sp1s117,3
c2sp1s118,3
c2sp1s119,3
c2sp1s12,9
c2sp1s120,3
c2sp1s121,3
c2sp1s122,3
c2sp1s123,3
c2sp1s124,0
c2sp1s125,6
c2sp1s126,6
c2sp1s127,6
c2sp1s128,6
c2sp1s129,6
c2sp1s13,0
c2sp1s130,6
c2sp1s131,6
c2sp1s132,6
c2sp1s133,6
c2sp1s134,6
c2sp1s135,0
c2sp1s136,6
c2sp1s137,6
c2sp1s138,6
c2sp1s139,6
c2sp1s14,9
c2sp1s140,6
c2sp1s141,6
c2sp1s142,6
c2sp1s143,6
c2sp1s144,6
c2sp1s145,6
c2sp1s146,0
c2sp1s147,6
c2sp1s148,6
c2sp1s149,6
c2sp1s15,9
c2sp1s150,6
c2sp1s151,6
c2sp1s152,6
c2sp1s153,6
c2sp1s154,6
c2sp1s155,6
c2sp1s156,6
c2sp1s157,0
c2sp1s158,6
c2sp1s159,6
c2sp1s16,9
c2sp1s160,6
c2sp1s161,6
c2sp1s162,6
c2sp1s163,6
c2sp1s164,6
c2sp1s165,6
c2sp1s166,2
c2sp1s167,2
c2sp1s168,0
c2sp1s169,2
c2sp1s17,9
c2sp1s170,2
c2sp1s171,2
c2sp1s172,2
c2sp1s173,2
c2sp1s174,2
c2sp1s175,2
c2sp1s176,2
c2sp1s177,2
c2sp1s178,2
c2sp1s179,0
c2sp1s18,9
c2sp1s180,2
c2sp1s181,2
c2sp1s182,2
c2sp1s183,2
c2sp1s184,2
c2sp1s185,2
c2sp1s186,2
c2sp1s187,2
c2sp1s188,2
c2sp1s189,2
c2sp1s19,9
c2sp1s190,0
c2sp1s191,2
c2sp1s192,2
c2sp1s193,2
c2sp1s194,2
c2sp1s195,2
c2sp1s196,2
c2sp1s197,2
c2sp1s198,2
c2sp1s199,2
c2sp1s2,0
c2sp1s20,9
c2sp1s200,2
c2sp1s201,0
c2sp1s202,2
c2sp1s203,2
c2sp1s204,2
c2sp1s205,2
c2sp1s206,2
c2sp1s207,2
c2sp1s208,2
c2sp1s209,2
c2sp1s21,9
c2sp1s210,2
c2sp1s211,2
c2sp1s212,0
c2sp1s213,2
c2sp1s214,2
c2sp1s215,2
c2sp1s216,2
c2sp1s217,2
c2sp1s218,2
c2sp1s219,2
c2sp1s22,9
c2sp1s220,8
c2sp1s221,8
c2sp1s222,8
c2sp1s223,0
c2sp1s224,0
c2sp1s225,8
c2sp1s226,8
c2sp1s227,8
c2sp1s228,8
c2sp1s229,8
c2sp1s23,9
c2sp1s230,8
c2sp1s231,8
c2sp1s232,8
c2sp1s233,8
c2sp1s234,8
c2sp1s235,0
c2sp1s236,8
c2sp1s237,8
c2sp1s238,8
c2sp1s239,8
c2sp1s24,0
c2sp1s240,8
c2sp1s241,8
c2sp1s242,8
c2sp1s243,8
c2sp1s244,8
c2sp1s245,8
c2sp1s246,0
c2sp1s247,8
c2sp1s248,8
c2sp1s249,8
c2sp1s25,9
c2sp1s250,8
c2sp1s251,8
c2sp1s252,8
c2sp1s253,8
c2sp1s254,8
c2sp1s255,8
c2sp1s256,8
c2sp1s257,0
c2sp1s258,8
c2sp1s259,8
c2sp1s26,9
c2sp1s260,8
c2sp1s261,8
c2sp1s262,8
c2sp1s263,8
c2sp1s264,8
c2sp1s265,8
c2sp1s266,8
c2sp1s267,8
c2sp1s268,0
c2sp1s269,8
c2sp1s27,9
c2sp1s270,8
c2sp1s271,5
c2sp1s272,5
c2sp1s273,5
c2sp1s274,5
c2sp1s275,5
c2sp1s276,5
c2sp1s277,5
c2sp1s278,5
c2sp1s279,0
c2sp1s28,9
c2sp1s280,5
c2sp1s281,5
c2sp1s282,5
c2sp1s283,5
c2sp1s284,5
c2sp1s285,5
c2sp1s286,5
c2sp1s287,5
c2sp1s288,5
c2sp1s289,5
c2sp1s29,9
c2sp1s290,0
c2sp1s291,5
c2sp1s292,5
c2sp1s293,5
c2sp1s294,5
c2sp1s295,5
c2sp1s296,5
c2sp1s297,5
c2sp1s298,5
c2sp1s299,5
c2sp1s3,7
c2sp1s30,9
c2sp1s300,5
c2sp1s301,0
c2sp1s302,5
c2sp1s303,5
c2sp1s304,5
c2sp1s305,5
c2sp1s306,5
c2sp1s307,5
c2sp1s308,5
c2sp1s309,5
c2sp1s31,9
c2sp1s310,5
c2sp1s311,5
c2sp1s312,0
c2sp1s313,5
c2sp1s314,5
c2sp1s315,5
c2sp1s316,5
c2sp1s317,5
c2sp1s318,5
c2sp1s319,5
c2sp1s32,9
c2sp1s320,5
c2sp1s321,5
c2sp1s322,5
c2sp1s323,0
c2sp1s324,5
c2sp1s325,5
c2sp1s326,7
c2sp1s327,7
c2sp1s328,7
c2sp1s329,7
c2sp1s33,9
c2sp1s330,7
c2sp1s331,7
c2sp1s332,7
c2sp1s333,7
c2sp1s334,0
c2sp1s335,0
c2sp1s336,7
c2sp1s337,7
c2sp1s338,7
c2sp1s339,7
c2sp1s34,9
c2sp1s340,7
c2sp1s341,7
c2sp1s342,7
c2sp1s343,7
c2sp1s344,7
c2sp1s345,7
c2sp1s346,0
c2sp1s347,7
c2sp1s348,7
c2sp1s349,7
c2sp1s35,0
c2sp1s350,7
c2sp1s351,7
c2sp1s352,7
c2sp1s353,7
c2sp1s354,7
c2sp1s355,7
c2sp1s356,7
c2sp1s357,0
c2sp1s358,7
c2sp1s359,7
c2sp1s36,9
c2sp1s360,7
c2sp1s361,7
c2sp1s362,7
c2sp1s363,7
c2sp1s364,7
c2sp1s365,7
c2sp1s366,7
c2sp1s367,4
c2sp1s368,0
c2sp1s369,4
c2sp1s37,9
c2sp1s370,4
c2sp1s371,4
c2sp1s372,4
c2sp1s373,4
c2sp1s374,4
c2sp1s375,4
c2sp1s376,4
c2sp1s377,4
c2sp1s378,4
c2sp1s379,0
c2sp1s38,9
c2sp1s380,4
c2sp1s381,4
c2sp1s382,4
c2sp1s383,4
c2sp1s384,4
c2sp1s385,4
c2sp1s386,4
c2sp1s387,4
c2sp1s388,4
c2sp1s389,4
c2sp1s39,9
c2sp1s390,0
c2sp1s391,4
c2sp1s392,4
c2sp1s393,4
c2sp1s394,4
c2sp1s395,4
c2sp1s396,4
c2sp1s397,4
c2sp1s398,4
c2sp1s399,4
c2sp1s4,7
c2sp1s40,9
c2sp1s400,4
c2sp1s401,0
c2sp1s402,4
c2sp1s403,4
c2sp1s404,4
c2sp1s405,4
c2sp1s406,4
c2sp1s407,4
c2sp1s408,4
c2sp1s409,4
c2sp1s41,9
c2sp1s410,4
c2sp1s411,4
c2sp1s412,0
c2sp1s413,4
c2sp1s414,4
c2sp1s415,4
c2sp1s416,4
c2sp1s417,4
c2sp1s418,1
c2sp1s419,1
c2sp1s42,9
c2sp1s420,1
c2sp1s421,1
c2sp1s422,1
c2sp1s423,0
c2sp1s424,1
c2sp1s425,1
c2sp1s426,1
c2sp1s427,1
c2sp1s428,1
c2sp1s429,1
c2sp1s43,9
c2sp1s430,1
c2sp1s431,1
c2sp1s432,1
c2sp1s433,1
c2sp1s434,0
c2sp1s435,1
c2sp1s436,1
c2sp1s437,1
c2sp1s438,1
c2sp1s439,1
c2sp1s44,9
c2sp1s440,1
c2sp1s441,1
c2sp1s442,1
c2sp1s443,1
c2sp1s444,1
c2sp1s445,0
c2sp1s446,0
c2sp1s447,1
c2sp1s448,0
c2sp1s449,0
c2sp1s45,9
c2sp1s450,0
c2sp1s451,0
c2sp1s452,0
c2sp1s453,0
c2sp1s454,0
c2sp1s455,0
c2sp1s456,0
c2sp1s457,0
c2sp1s458,7
c2sp1s459,7
c2sp1s46,0
c2sp1s460,7
c2sp1s461,7
c2sp1s462,7
c2sp1s463,7
c2sp1s464,7
c2sp1s465,7
c2sp1s466,7
c2sp1s467,7
c2sp1s468,0
c2sp1s469,7
c2sp1s47,9
c2sp1s470,7
c2sp1s471,7
c2sp1s472,7
c2sp1s473,7
c2sp1s474,7
c2sp1s475,7
c2sp1s476,7
c2sp1s477,7
c2sp1s478,7
c2sp1s479,0
c2sp1s48,9
c2sp1s480,7
c2sp1s481,7
c2sp1s482,7
c2sp1s483,7
c2sp1s484,7
c2sp1s485,7
c2sp1s486,7
c2sp1s487,7
c2sp1s488,7
c2sp1s489,7
c2sp1s49,9
c2sp1s490,0
c2sp1s491,7
c2sp1s492,7
c2sp1s493,7
c2sp1s494,7
c2sp1s495,7
c2sp1s496,7
c2sp1s497,7
c2sp1s498,7
c2sp1s499,7
c2sp1s5,9
c2sp1s50,9
c2sp1s500,7
c2sp1s51,9
c2sp1s52,9
c2sp1s53,9
c2sp1s54,9
c2sp1s55,9
c2sp1s56,9
c2sp1s57,0
c2sp1s58,9
c2sp1s59,9
c2sp1s6,9
c2sp1s60,9
c2sp1s61,9
c2sp1s62,9
c2sp1s63,9
c2sp1s64,9
c2sp1s65,9
c2sp1s66,9
c2sp1s67,9
c2sp1s68,0
c2sp1s69,9
c2sp1s7,9
c2sp1s70,9
c2sp1s71,9
c2sp1s72,9
c2sp1s73,9
c2sp1s74,9
c2sp1s75,9
c2sp1s76,9
c2sp1s77,9
c2sp1s78,9
c2sp1s79,0
c2sp1s8,9
c2sp1s80,9
c2sp1s81,3
c2sp1s82,3
c2sp1s83,3
c2sp1s84,3
c2sp1s85,3
c2sp1s86,3
c2sp1s87,3
c2sp1s88,3
c2sp1s89,3
c2sp1s9,9
c2sp1s90,0
c2sp1s91,3
c2sp1s92,3
c2sp1s93,3
c2sp1s94,3
c2sp1s95,3
c2sp1s96,3
c2sp1s97,3
c2sp1s98,3
c2sp1s99,3
c2sp2s1000,8
c2sp2s501,8
c2sp2s502,3
c2sp2s503,3
c2sp2s504,3
c2sp2s505,3
c2sp2s506,3
c2sp2s507,3
c2sp2s508,3
c2sp2s509,3
c2sp2s510,3
c2sp2s511,3
c2sp2s512,3
c2sp2s513,3
c2sp2s514,3
c2sp2s515,3
c2sp2s516,3
c2sp2s517,3
c2sp2s518,3
c2sp2s519,3
c2sp2s520,3
c2sp2s521,3
c2sp2s522,3
c2sp2s523,3
c2sp2s524,3
c2sp2s525,3
c2sp2s526,3
c2sp2s527,3
c2sp2s528,3
c2sp2s529,3
c2sp2s530,3
c2sp2s531,3
c2sp2s532,3
c2sp2s533,3
c2sp2s534,3
c2sp2s535,3
c2sp2s536,3
c2sp2s537,3
c2sp2s538,3
c2sp2s539,3
c2sp2s540,3
c2sp2s541,3
c2sp2s542,3
c2sp2s543,3
c2sp2s544,3
c2sp2s545,3
c2sp2s546,3
c2sp2s547,3
c2sp2s548,3
c2sp2s549,3
c2sp2s550,3
c2sp2s551,3
c2sp2s552,3
c2sp2s553,3
c2sp2s554,3
c2sp2s555,3
c2sp2s556,3
c2sp2s557,3
c2sp2s558,3
c2sp2s559,3
c2sp2s560,3
c2sp2s561,3
c2sp2s562,3
c2sp2s563,3
c2sp2s564,3
c2sp2s565,3
c2sp2s566,3
c2sp2s567,3
c2sp2s568,3
c2sp2s569,3
c2sp2s570,3
c2sp2s571,3
c2sp2s572,3
c2sp2s573,3
c2sp2s574,3
c2sp2s575,3
c2sp2s576,3
c2sp2s577,3
c2sp2s578,3
c2sp2s579,3
c2sp2s580,3
c2sp2s581,3
c2sp2s582,3
c2sp2s583,3
c2sp2s584,3
c2sp2s585,3
c2sp2s586,3
c2sp2s587,2
c2sp2s588,2
c2sp2s589,2
c2sp2s590,2
c2sp2s591,2
c2sp2s592,2
c2sp2s593,2
c2sp2s594,2
c2sp2s595,2
c2sp2s596,2
c2sp2s597,2
c2sp2s598,2
c2sp2s599,2
c2sp2s600,2
c2sp2s601,2
c2sp2s602,2
c2sp2s603,2
c2sp2s604,2
c2sp2s605,2
c2sp2s606,2
c2sp2s607,2
c2sp2s608,2
c2sp2s609,2
c2sp2s610,2
c2sp2s611,2
c2sp2s612,2
c2sp2s613,2
c2sp2s614,2
c2sp2s615,2
c2sp2s616,2
c2sp2s617,2
c2sp2s618,2
c2sp2s619,2
c2sp2s620,2
c2sp2s621,2
c2sp2s622,2
c2sp2s623,2
c2sp2s624,2
c2sp2s625,2
c2sp2s626,2
c2sp2s627,2
c2sp2s628,2
c2sp2s629,2
c2sp2s630,2
c2sp2s631,2
c2sp2s632,2
c2sp2s633,2
c2sp2s634,0
c2sp2s635,0
c2sp2s636,0
c2sp2s637,0
c2sp2s638,0
c2sp2s639,0
c2sp2s640,0
c2sp2s641,0
c2sp2s642,0
c2sp2s643,0
c2sp2s644,0
c2sp2s645,0
c2sp2s646,0
c2sp2s647,0
c2sp2s648,0
c2sp2s649,0
c2sp2s650,0
c2sp2s651,0
c2sp2s652,0
c2sp2s653,0
c2sp2s654,0
c2sp2s655,0
c2sp2s656,0
c2sp2s657,0
c2sp2s658,0
c2sp2s659,0
c2sp2s660,0
c2sp2s661,0
c2sp2s662,0
c2sp2s663,0
c2sp2s664,0
c2sp2s665,0
c2sp2s666,0
c2sp2s667,0
c2sp2s668,0
c2sp2s669,0
c2sp2s670,0
c2sp2s671,0
c2sp2s672,0
c2sp2s673,0
c2sp2s674,0
c2sp2s675,0
c2sp2s676,0
c2sp2s677,0
c2sp2s678,0
c2sp2s679,0
c2sp2s680,0
c2sp2s681,0
c2sp2s682,0
c2sp2s683,0
c2sp2s684,0
c2sp2s685,0
c2sp2s686,0
c2sp2s687,0
c2sp2s688,0
c2sp2s689,0
c2sp2s690,5
c2sp2s691,5
c2sp2s692,5
c2sp2s693,5
c2sp2s694,5
c2sp2s695,5
c2sp2s696,5
c2sp2s697,5
c2sp2s698,5
c2sp2s699,5
c2sp2s700,5
c2sp2s701,5
c2sp2s702,5
c2sp2s703,5
c2sp2s704,5
c2sp2s705,5
c2sp2s706,5
c2sp2s707,5
c2sp2s708,5
c2sp2s709,5
c2sp2s710,5
c2sp2s711,5
c2sp2s712,5
c2sp2s713,5
c2sp2s714,5
c2sp2s715,5
c2sp2s716,5
c2sp2s717,5
c2sp2s718,5
c2sp2s719,5
c2sp2s720,5
c2sp2s721,5
c2sp2s722,5
c2sp2s723,7
c2sp2s724,7
c2sp2s725,7
c2sp2s726,7
c2sp2s727,7
c2sp2s728,7
c2sp2s729,7
c2sp2s730,7
c2sp2s731,7
c2sp2s732,7
c2sp2s733,7
c2sp2s734,7
c2sp2s735,7
c2sp2s736,7
c2sp2s737,7
c2sp2s738,7
c2sp2s739,7
c2sp2s740,7
c2sp2s741,7
c2sp2s742,7
c2sp2s743,7
c2sp2s744,7
c2sp2s745,7
c2sp2s746,7
c2sp2s747,7
c2sp2s748,7
c2sp2s749,7
c2sp2s750,7
c2sp2s751,7
c2sp2s752,7
c2sp2s753,7
c2sp2s754,7
c2sp2s755,7
c2sp2s756,7
c2sp2s757,7
c2sp2s758,7
c2sp2s759,7
c2sp2s760,7
c2sp2s761,7
c2sp2s762,7
c2sp2s763,7
c2sp2s764,7
c2sp2s765,7
c2sp2s766,7
c2sp2s767,7
c2sp2s768,7
c2sp2s769,7
c2sp2s770,4
c2sp2s771,4
c2sp2s772,4
c2sp2s773,4
c2sp2s774,4
c2sp2s775,4
c2sp2s776,4
c2sp2s777,4
c2sp2s778,4
c2sp2s779,4
c2sp2s780,4
c2sp2s781,4
c2sp2s782,4
c2sp2s783,4
c2sp2s784,4
c2sp2s785,4
c2sp2s786,4
c2sp2s787,4
c2sp2s788,4
c2sp2s789,4
c2sp2s790,4
c2sp2s791,4
c2sp2s792,4
c2sp2s793,4
c2sp2s794,4
c2sp2s795,4
c2sp2s796,4
c2sp2s797,4
c2sp2s798,4
c2sp2s799,4
c2sp2s800,4
c2sp2s801,4
c2sp2s802,4
c2sp2s803,9
c2sp2s804,9
c2sp2s805,9
c2sp2s806,9
c2sp2s807,9
c2sp2s808,9
c2sp2s809,9
c2sp2s810,9
c2sp2s811,9
c2sp2s812,9
c2sp2s813,1
c2sp2s814,1
c2sp2s815,1
c2sp2s816,1
c2sp2s817,1
c2sp2s818,1
c2sp2s819,1
c2sp2s820,1
c2sp2s821,1
c2sp2s822,1
c2sp2s823,1
c2sp2s824,1
c2sp2s825,1
c2sp2s826,1
c2sp2s827,1
c2sp2s828,1
c2sp2s829,1
c2sp2s830,1
c2sp2s831,1
c2sp2s832,1
c2sp2s833,1
c2sp2s834,1
c2sp2s835,1
c2sp2s836,1
c2sp2s837,1
c2sp2s838,1
c2sp2s839,1
c2sp2s840,1
c2sp2s841,1
c2sp2s842,1
c2sp2s843,1
c2sp2s844,1
c2sp2s845,1
c2sp2s846,1
c2sp2s847,1
c2sp2s848,1
c2sp2s849,1
c2sp2s850,1
c2sp2s851,1
c2sp2s852,1
c2sp2s853,1
c2sp2s854,1
c2sp2s855,1
c2sp2s856,1
c2sp2s857,1
c2sp2s858,1
c2sp2s859,1
c2sp2s860,1
c2sp2s861,6
c2sp2s862,6
c2sp2s863,6
c2sp2s864,6
c2sp2s865,6
c2sp2s866,6
c2sp2s867,6
c2sp2s868,6
c2sp2s869,6
c2sp2s870,6
c2sp2s871,6
c2sp2s872,6
c2sp2s873,6
c2sp2s874,6
c2sp2s875,6
c2sp2s876,6
c2sp2s877,6
c2sp2s878,6
c2sp2s879,6
c2sp2s880,6
c2sp2s881,6
c2sp2s882,6
c2sp2s883,6
c2sp2s884,6
c2sp2s885,6
c2sp2s886,6
c2sp2s887,6
c2sp2s888,6
c2sp2s889,6
c2sp2s890,6
c2sp2s891,6
c2sp2s892,6
c2sp2s893,6
c2sp2s894,6
c2sp2s895,6
c2sp2s896,6
c2sp2s897,6
c2sp2s898,6
c2sp2s899,6
c2sp2s900,6
c2sp2s901,6
c2sp2s902,6
c2sp2s903,6
c2sp2s904,6
c2sp2s905,6
c2sp2s906,6
c2sp2s907,6
c2sp2s908,6
c2sp2s909,6
c2sp2s910,6
c2sp2s911,6
c2sp2s912,6
c2sp2s913,6
c2sp2s914,6
c2sp2s915,6
c2sp2s916,6
c2sp2s917,6
c2sp2s918,2
c2sp2s919,2
c2sp2s920,2
c2sp2s921,2
c2sp2s922,2
c2sp2s923,2
c2sp2s924,2
c2sp2s925,2
c2sp2s926,2
c2sp2s927,2
c2sp2s928,2
c2sp2s929,2
c2sp2s930,2
c2sp2s931,2
c2sp2s932,2
c2sp2s933,2
c2sp2s934,2
c2sp2s935,2
c2sp2s936,2
c2sp2s937,2
c2sp2s938,2
c2sp2s939,2
c2sp2s940,2
c2sp2s941,2
c2sp2s942,2
c2sp2s943,2
c2sp2s944,2
c2sp2s945,2
c2sp2s946,2
c2sp2s947,2
c2sp2s948,2
c2sp2s949,2
c2sp2s950,2
c2sp2s951,2
c2sp2s952,2
c2sp2s953,2
c2sp2s954,2
c2sp2s955,2
c2sp2s956,2
c2sp2s957,2
c2sp2s958,2
c2sp2s959,2
c2sp2s960,8
c2sp2s961,8
c2sp2s962,8
c2sp2s963,8
c2sp2s964,8
c2sp2s965,8
c2sp2s966,8
c2sp2s967,8
c2sp2s968,8
c2sp2s969,8
c2sp2s970,8
c2sp2s971,8
c2sp2s972,8
c2sp2s973,8
c2sp2s974,8
c2sp2s975,8
c2sp2s976,8
c2sp2s977,8
c2sp2s978,8
c2sp2s979,8
c2sp2s980,8
c2sp2s981,8
c2sp2s982,8
c2sp2s983,8
c2sp2s984,8
