sample_label,cluster
c2g1s1,3
c2g1s2,3
c2g1s3,3
c2g1s4,3
c2g1s5,3
c2g1s6,3
c2g1s7,3
c2g1s8,3
c2g1s9,3
c2g1s10,3
c2g1s11,3
c2g1s12,3
c2g1s13,3
c2g1s14,3
c2g1s15,3
c2g1s16,3
c2g1s17,3
c2g1s18,3
c2g1s19,3
c2g1s20,3
c2g1s21,3
c2g1s22,3
c2g1s23,3
c2g1s24,3
c2g1s25,3
c2g1s26,3
c2g1s27,3
c2g1s28,3
c2g1s29,3
c2g1s30,3
c2g1s31,3
c2g1s32,3
c2g1s33,3
c2g1s34,3
c2g1s35,3
c2g1s36,3
c2g1s37,3
c2g1s38,3
c2g1s39,3
c2g1s40,3
c2g1s41,3
c2g1s42,3
c2g1s43,3
c2g1s44,3
c2g1s45,3
c2g1s46,3
c2g1s47,3
c2g1s48,3
c2g1s49,3
c2g1s50,3
c2g1s51,3
c2g1s52,3
c2g1s53,3
c2g1s54,3
c2g1s55,3
c2g1s56,3
c2g1s57,3
c2g1s58,3
c2g1s59,3
c2g1s60,3
c2g1s61,3
c2g1s62,3
c2g1s63,3
c2g1s64,3
c2g1s65,3
c2g1s66,3
c2g1s67,3
c2g1s68,3
c2g1s69,3
c2g1s70,3
c2g1s71,3
c2g1s72,3
c2g1s73,3
c2g1s74,3
c2g1s75,3
c2g1s76,3
c2g1s77,3
c2g1s78,3
c2g1s79,3
c2g1s80,3
c2g1s81,3
c2g1s82,3
c2g1s83,3
c2g1s84,3
c2g1s85,3
c2g1s86,3
c2g1s87,3
c2g1s88,3
c2g1s89,3
c2g1s90,3
c2g1s91,3
c2g1s92,3
c2g1s93,3
c2g1s94,3
c2g1s95,3
c2g1s96,3
c2g1s97,3
c2g1s98,3
c2g1s99,3
c2g1s100,3
c2g1s101,3
c2g1s102,3
c2g1s103,3
c2g1s104,3
c2g1s105,3
c2g1s106,3
c2g1s107,3
c2g1s108,3
c2g1s109,3
c2g1s110,3
c2g1s111,3
c2g1s112,3
c2g1s113,3
c2g1s114,3
c2g1s115,3
c2g1s116,3
c2g1s117,3
c2g1s118,3
c2g1s119,3
c2g1s120,3
c2g1s121,3
c2g1s122,3
c2g1s123,3
c2g1s124,3
c2g1s125,3
c2g1s126,3
c2g1s127,3
c2g1s128,3
c2g1s129,3
c2g1s130,3
c2g1s131,3
c2g1s132,3
c2g1s133,3
c2g1s134,3
c2g1s135,3
c2g1s136,3
c2g1s137,3
c2g1s138,3
c2g1s139,3
c2g1s140,3
c2g1s141,3
c2g1s142,3
c2g1s143,3
c2g1s144,3
c2g1s145,3
c2g1s146,3
c2g1s147,3
c2g1s148,3
c2g1s149,3
c2g1s150,3
c2g1s151,3
c2g1s152,3
c2g1s153,3
c2g1s154,3
c2g1s155,3
c2g1s156,3
c2g1s157,3
c2g1s158,3
c2g1s159,3
c2g1s160,3
c2g1s161,3
c2g1s162,3
c2g1s163,3
c2g1s164,3
c2g1s165,3
c2g1s166,3
c2g1s167,3
c2g1s168,3
c2g1s169,3
c2g1s170,3
c2g1s171,3
c2g1s172,3
c2g1s173,3
c2g1s174,3
c2g1s175,3
c2g1s176,3
c2g1s177,3
c2g1s178,3
c2g1s179,3
c2g1s180,3
c2g1s181,3
c2g1s182,3
c2g1s183,3
c2g1s184,3
c2g1s185,3
c2g1s186,3
c2g1s187,3
c2g1s188,3
c2g1s189,3
c2g1s190,3
c2g1s191,3
c2g1s192,3
c2g1s193,3
c2g1s194,3
c2g1s195,3
c2g1s196,3
c2g1s197,3
c2g1s198,3
c2g1s199,3
c2g1s200,3
c2g1s201,3
c2g1s202,3
c2g1s203,3
c2g1s204,3
c2g1s205,3
c2g1s206,3
c2g1s207,3
c2g1s208,3
c2g1s209,3
c2g1s210,3
c2g1s211,3
c2g1s212,3
c2g1s213,3
c2g1s214,3
c2g1s215,3
c2g1s216,3
c2g1s217,3
c2g1s218,3
c2g1s219,3
c2g1s220,3
c2g1s221,3
c2g1s222,3
c2g1s223,3
c2g1s224,3
c2g1s225,3
c2g1s226,3
c2g1s227,3
c2g1s228,3
c2g1s229,3
c2g1s230,3
c2g1s231,3
c2g1s232,3
c2g1s233,3
c2g1s234,3
c2g1s235,3
c2g1s236,3
c2g1s237,3
c2g1s238,3
c2g1s239,3
c2g1s240,3
c2g1s241,3
c2g1s242,3
c2g1s243,3
c2g1s244,3
c2g1s245,3
c2g1s246,3
c2g1s247,3
c2g1s248,3
c2g1s249,3
c2g1s250,3
c2g1s251,3
c2g1s252,3
c2g1s253,3
c2g1s254,3
c2g1s255,3
c2g1s256,3
c2g1s257,3
c2g1s258,3
c2g1s259,3
c2g1s260,3
c2g1s261,3
c2g1s262,3
c2g1s263,3
c2g1s264,3
c2g1s265,3
c2g1s266,3
c2g1s267,3
c2g1s268,3
c2g1s269,3
c2g1s270,3
c2g1s271,3
c2g1s272,3
c2g1s273,3
c2g1s274,3
c2g1s275,3
c2g1s276,3
c2g1s277,3
c2g1s278,3
c2g1s279,3
c2g1s280,3
c2g1s281,3
c2g1s282,3
c2g1s283,3
c2g1s284,3
c2g1s285,3
c2g1s286,3
c2g1s287,3
c2g1s288,3
c2g1s289,3
c2g1s290,3
c2g1s291,3
c2g1s292,3
c2g1s293,3
c2g1s294,3
c2g1s295,3
c2g1s296,3
c2g1s297,3
c2g1s298,3
