sample_label,cluster
c2g1s1,2
c2g1s10,2
c2g1s100,4
c2g1s101,1
c2g1s102,7
c2g1s103,3
c2g1s104,3
c2g1s105,4
c2g1s106,8
c2g1s107,2
c2g1s108,4
c2g1s109,3
c2g1s11,8
c2g1s110,4
c2g1s111,8
c2g1s112,1
c2g1s113,4
c2g1s114,4
c2g1s115,7
c2g1s116,1
c2g1s117,8
c2g1s118,3
c2g1s119,1
c2g1s12,8
c2g1s120,7
c2g1s121,4
c2g1s122,8
c2g1s123,1
c2g1s124,2
c2g1s125,3
c2g1s126,3
c2g1s127,7
c2g1s128,4
c2g1s129,2
c2g1s13,1
c2g1s130,4
c2g1s131,1
c2g1s132,1
c2g1s133,7
c2g1s134,2
c2g1s135,7
c2g1s136,3
c2g1s137,3
c2g1s138,1
c2g1s139,4
c2g1s14,1
c2g1s140,2
c2g1s141,1
c2g1s142,8
c2g1s143,8
c2g1s144,1
c2g1s145,4
c2g1s146,3
c2g1s147,8
c2g1s148,7
c2g1s149,8
c2g1s15,1
c2g1s150,8
c2g1s151,2
c2g1s152,2
c2g1s153,3
c2g1s154,3
c2g1s155,7
c2g1s156,4
c2g1s157,2
c2g1s158,4
c2g1s159,2
c2g1s16,4
c2g1s160,8
c2g1s161,3
c2g1s162,1
c2g1s163,7
c2g1s164,2
c2g1s165,7
c2g1s166,7
c2g1s167,1
c2g1s168,7
c2g1s169,1
c2g1s17,3
c2g1s170,2
c2g1s171,1
c2g1s172,8
c2g1s173,8
c2g1s174,7
c2g1s175,8
c2g1s176,2
c2g1s177,2
c2g1s178,3
c2g1s179,3
c2g1s18,3
c2g1s180,3
c2g1s181,8
c2g1s182,7
c2g1s183,3
c2g1s184,2
c2g1s185,1
c2g1s186,1
c2g1s187,7
c2g1s188,3
c2g1s189,3
c2g1s19,3
c2g1s190,7
c2g1s191,8
c2g1s192,1
c2g1s193,4
c2g1s194,1
c2g1s195,1
c2g1s196,7
c2g1s197,2
c2g1s198,8
c2g1s199,4
c2g1s2,8
c2g1s20,8
c2g1s200,4
c2g1s201,4
c2g1s202,3
c2g1s203,3
c2g1s204,4
c2g1s205,3
c2g1s206,8
c2g1s207,4
c2g1s208,3
c2g1s209,1
c2g1s21,1
c2g1s210,3
c2g1s211,8
c2g1s212,4
c2g1s213,2
c2g1s214,3
c2g1s215,4
c2g1s216,1
c2g1s217,4
c2g1s218,1
c2g1s219,2
c2g1s22,8
c2g1s220,8
c2g1s221,1
c2g1s222,3
c2g1s223,4
c2g1s224,4
c2g1s225,3
c2g1s226,3
c2g1s227,2
c2g1s228,8
c2g1s229,4
c2g1s23,4
c2g1s230,3
c2g1s231,3
c2g1s232,3
c2g1s233,7
c2g1s234,8
c2g1s235,8
c2g1s236,7
c2g1s237,2
c2g1s238,2
c2g1s239,4
c2g1s24,7
c2g1s240,8
c2g1s241,7
c2g1s242,4
c2g1s243,8
c2g1s244,4
c2g1s245,3
c2g1s246,4
c2g1s247,4
c2g1s248,7
c2g1s249,2
c2g1s25,3
c2g1s250,7
c2g1s251,1
c2g1s252,4
c2g1s253,8
c2g1s254,7
c2g1s255,7
c2g1s256,7
c2g1s257,4
c2g1s258,8
c2g1s259,1
c2g1s26,3
c2g1s260,1
c2g1s261,3
c2g1s262,8
c2g1s263,3
c2g1s264,4
c2g1s265,1
c2g1s266,2
c2g1s267,8
c2g1s268,8
c2g1s269,1
c2g1s27,4
c2g1s270,4
c2g1s271,4
c2g1s272,1
c2g1s273,1
c2g1s274,7
c2g1s275,3
c2g1s276,7
c2g1s277,3
c2g1s278,2
c2g1s279,3
c2g1s28,4
c2g1s280,8
c2g1s281,8
c2g1s282,7
c2g1s283,7
c2g1s284,1
c2g1s285,7
c2g1s286,4
c2g1s287,7
c2g1s288,7
c2g1s289,8
c2g1s29,2
c2g1s290,8
c2g1s291,3
c2g1s292,2
c2g1s293,8
c2g1s294,7
c2g1s295,3
c2g1s296,1
c2g1s297,7
c2g1s298,3
c2g1s299,1
c2g1s3,8
c2g1s30,8
c2g1s300,1
c2g1s301,4
c2g1s302,8
c2g1s303,1
c2g1s304,8
c2g1s305,8
c2g1s306,4
c2g1s307,1
c2g1s308,8
c2g1s309,1
c2g1s31,1
c2g1s310,2
c2g1s311,4
c2g1s312,1
c2g1s313,4
c2g1s314,1
c2g1s315,7
c2g1s316,1
c2g1s317,3
c2g1s318,7
c2g1s319,1
c2g1s32,3
c2g1s320,8
c2g1s321,2
c2g1s322,3
c2g1s323,2
c2g1s324,4
c2g1s325,8
