sample_label,cluster
c2g1s1,5
c2g1s2,5
c2g1s3,5
c2g1s4,5
c2g1s5,5
c2g1s6,5
c2g1s7,5
c2g1s8,5
c2g1s9,5
c2g1s10,5
c2g1s11,5
c2g1s12,5
c2g1s13,5
c2g1s14,5
c2g1s15,5
c2g1s16,5
c2g1s17,5
c2g1s18,5
c2g1s19,5
c2g1s20,5
c2g1s21,5
c2g1s22,5
c2g1s23,5
c2g1s24,5
c2g1s25,5
c2g1s26,5
c2g1s27,5
c2g1s28,5
c2g1s29,5
c2g1s30,5
c2g1s31,5
c2g1s32,5
c2g1s33,5
c2g1s34,5
c2g1s35,5
c2g1s36,5
c2g1s37,5
c2g1s38,5
c2g1s39,5
c2g1s40,5
c2g1s41,5
c2g1s42,5
c2g1s43,5
c2g1s44,5
c2g1s45,5
c2g1s46,5
c2g1s47,5
c2g1s48,5
c2g1s49,5
c2g1s50,5
c2g1s51,5
c2g1s52,5
c2g1s53,5
c2g1s54,5
c2g1s55,5
c2g1s56,5
c2g1s57,5
c2g1s58,5
c2g1s59,5
c2g1s60,5
c2g1s61,5
c2g1s62,5
c2g1s63,5
c2g1s64,5
c2g1s65,5
c2g1s66,5
c2g1s67,5
c2g1s68,5
c2g1s69,5
c2g1s70,5
c2g1s71,5
c2g1s72,5
c2g1s73,5
c2g1s74,5
c2g1s75,5
c2g1s76,5
c2g1s77,5
c2g1s78,5
c2g1s79,5
c2g1s80,5
c2g1s81,5
c2g1s82,5
c2g1s83,5
c2g1s84,5
c2g1s85,5
c2g1s86,5
c2g1s87,5
c2g1s88,5
c2g1s89,5
c2g1s90,5
c2g1s91,5
c2g1s92,5
c2g1s93,5
c2g1s94,5
c2g1s95,5
c2g1s96,5
c2g1s97,5
c2g1s98,5
c2g1s99,5
c2g1s100,5
c2g1s101,5
c2g1s102,5
c2g1s103,5
c2g1s104,5
c2g1s105,5
c2g1s106,5
c2g1s107,5
c2g1s108,5
c2g1s109,5
c2g1s110,5
c2g1s111,5
c2g1s112,5
c2g1s113,5
c2g1s114,5
c2g1s115,5
c2g1s116,5
c2g1s117,5
c2g1s118,5
c2g1s119,5
c2g1s120,5
c2g1s121,5
c2g1s122,5
c2g1s123,5
c2g1s124,5
c2g1s125,5
c2g1s126,5
c2g1s127,5
c2g1s128,5
c2g1s129,5
c2g1s130,5
c2g1s131,5
c2g1s132,5
c2g1s133,5
c2g1s134,5
c2g1s135,5
c2g1s136,5
c2g1s137,5
c2g1s138,5
c2g1s139,5
c2g1s140,5
c2g1s141,5
c2g1s142,5
c2g1s143,5
c2g1s144,5
c2g1s145,5
c2g1s146,5
c2g1s147,5
c2g1s148,5
c2g1s149,5
c2g1s150,5
c2g1s151,5
c2g1s152,5
c2g1s153,5
c2g1s154,5
c2g1s155,5
c2g1s156,5
c2g1s157,5
c2g1s158,5
c2g1s159,5
c2g1s160,5
c2g1s161,5
c2g1s162,5
c2g1s163,5
c2g1s164,5
c2g1s165,5
c2g1s166,5
c2g1s167,5
c2g1s168,5
c2g1s169,5
c2g1s170,5
c2g1s171,5
c2g1s172,5
c2g1s173,5
c2g1s174,5
c2g1s175,5
c2g1s176,5
c2g1s177,5
c2g1s178,5
c2g1s179,5
c2g1s180,5
c2g1s181,5
c2g1s182,5
c2g1s183,5
c2g1s184,5
c2g1s185,5
c2g1s186,5
c2g1s187,5
c2g1s188,5
c2g1s189,5
c2g1s190,5
c2g1s191,5
c2g1s192,5
c2g1s193,5
c2g1s194,5
c2g1s195,5
c2g1s196,5
c2g1s197,5
c2g1s198,5
c2g1s199,5
c2g1s200,5
c2g1s201,5
c2g1s202,5
c2g1s203,5
c2g1s204,5
c2g1s205,5
c2g1s206,5
c2g1s207,5
c2g1s208,5
c2g1s209,5
c2g1s210,5
c2g1s211,5
c2g1s212,5
c2g1s213,5
c2g1s214,5
c2g1s215,5
c2g1s216,5
c2g1s217,5
c2g1s218,5
c2g1s219,5
c2g1s220,5
c2g1s221,5
c2g1s222,5
c2g1s223,5
c2g1s224,5
c2g1s225,5
c2g1s226,5
c2g1s227,5
c2g1s228,5
c2g1s229,5
c2g1s230,5
c2g1s231,5
c2g1s232,5
c2g1s233,5
c2g1s234,5
c2g1s235,5
c2g1s236,5
c2g1s237,5
c2g1s238,5
c2g1s239,5
c2g1s240,5
c2g1s241,5
c2g1s242,5
c2g1s243,5
c2g1s244,5
c2g1s245,5
c2g1s246,5
c2g1s247,5
c2g1s248,5
c2g1s249,5
c2g1s250,5
c2g1s251,5
c2g1s252,5
c2g1s253,5
c2g1s254,5
c2g1s255,5
c2g1s256,5
c2g1s257,5
c2g1s258,5
c2g1s259,5
c2g1s260,5
c2g1s261,5
c2g1s262,5
c2g1s263,5
c2g1s264,5
c2g1s265,5
c2g1s266,5
c2g1s267,5
c2g1s268,5
c2g1s269,5
c2g1s270,5
c2g1s271,5
c2g1s272,5
c2g1s273,5
c2g1s274,5
c2g1s275,5
c2g1s276,5
c2g1s277,5
c2g1s278,5
c2g1s279,5
c2g1s280,5
c2g1s281,5
c2g1s282,5
c2g1s283,5
c2g1s284,5
c2g1s285,5
c2g1s286,5
c2g1s287,5
c2g1s288,5
c2g1s289,5
c2g1s290,5
c2g1s291,5
c2g1s292,5
c2g1s293,5
c2g1s294,5
c2g1s295,5
c2g1s296,5
c2g1s297,5
c2g1s298,5
c2g1s299,5
c2g1s300,5
c2g1s301,5
c2g1s302,5
c2g1s303,5
c2g1s304,5
c2g1s305,5
c2g1s306,5
c2g1s307,5
c2g1s308,5
c2g1s309,5
c2g1s310,5
c2g1s311,5
c2g1s312,5
c2g1s313,5
c2g1s314,5
c2g1s315,5
c2g1s316,5
c2g1s317,5
c2g1s318,5
c2g1s319,5
c2g1s320,5
c2g1s321,5
c2g1s322,5
c2g1s323,5
c2g1s324,5
c2g1s325,5
c2g1s326,5
c2g1s327,5
c2g1s328,5
c2g1s329,5
c2g1s330,5
c2g1s331,5
c2g1s332,5
c2g1s333,5
c2g1s334,5
c2g1s335,5
c2g1s336,5
c2g1s337,5
c2g1s338,5
c2g1s339,5
c2g1s340,5
c2g1s341,5
c2g1s342,5
c2g1s343,5
c2g1s344,5
c2g1s345,5
c2g1s346,5
c2g1s347,5
c2g1s348,5
c2g1s349,5
c2g1s350,5
c2g1s351,5
c2g1s352,5
c2g1s353,5
c2g1s354,5
c2g1s355,5
c2g1s356,5
c2g1s357,5
c2g1s358,5
c2g1s359,5
c2g1s360,5
c2g1s361,5
c2g1s362,5
c2g1s363,5
c2g1s364,5
c2g1s365,5
c2g1s366,5
c2g1s367,5
c2g1s368,5
c2g1s369,5
c2g1s370,5
c2g1s371,5
c2g1s372,5
c2g1s373,5
c2g1s374,5
c2g1s375,5
c2g1s376,5
c2g1s377,5
c2g1s378,5
c2g1s379,5
c2g1s380,5
c2g1s381,5
c2g1s382,5
c2g1s383,5
c2g1s384,5
c2g1s385,5
c2g1s386,5
c2g1s387,5
c2g1s388,5
c2g1s389,5
c2g1s390,5
c2g1s391,5
c2g1s392,5
c2g1s393,5
c2g1s394,5
c2g1s395,5
c2g1s396,5
c2g1s397,5
c2g1s398,5
c2g1s399,5
c2g1s400,5
c2g1s401,5
c2g1s402,5
c2g1s403,5
c2g1s404,5
c2g1s405,5
c2g1s406,5
c2g1s407,5
c2g1s408,5
c2g1s409,5
c2g1s410,5
c2g1s411,5
c2g1s412,5
c2g1s413,5
c2g1s414,5
c2g1s415,5
c2g1s416,5
c2g1s417,5
c2g1s418,5
c2g1s419,5
c2g1s420,5
c2g1s421,5
c2g1s422,5
c2g1s423,5
c2g1s424,5
c2g1s425,5
c2g1s426,5
c2g1s427,5
c2g1s428,5
c2g1s429,5
c2g1s430,5
c2g1s431,5
c2g1s432,5
c2g1s433,5
c2g1s434,5
c2g1s435,5
c2g1s436,5
c2g1s437,5
c2g1s438,5
c2g1s439,5
c2g1s440,5
c2g1s441,5
c2g1s442,5
c2g1s443,5
c2g1s444,5
c2g1s445,5
c2g1s446,5
c2g1s447,5
c2g1s448,5
c2g1s449,5
c2g1s450,5
c2g1s451,5
c2g1s452,5
c2g1s453,5
c2g1s454,5
c2g1s455,5
c2g1s456,5
c2g1s457,5
c2g1s458,5
c2g1s459,5
c2g1s460,5
c2g1s461,5
c2g1s462,5
c2g1s463,5
c2g1s464,5
c2g1s465,5
c2g1s466,5
c2g1s467,5
c2g1s468,5
c2g1s469,5
c2g1s470,5
c2g1s471,5
c2g1s472,5
c2g1s473,5
c2g1s474,5
c2g1s475,5
c2g1s476,5
c2g1s477,5
c2g1s478,5
c2g1s479,5
c2g1s480,5
c2g1s481,5
c2g1s482,5
c2g1s483,5
c2g1s484,5
c2g1s485,5
c2g1s486,5
c2g1s487,5
c2g1s488,5
c2g1s489,5
c2g1s490,5
c2g1s491,5
c2g1s492,5
c2g1s493,5
c2g1s494,5
c2g1s495,5
c2g1s496,5
c2g1s497,5
c2g1s498,5
c2g1s499,5
c2g1s500,5
c2g2s501,5
c2g2s502,5
c2g2s503,5
c2g2s504,5
c2g2s505,5
c2g2s506,5
c2g2s507,5
c2g2s508,5
c2g2s509,5
c2g2s510,5
c2g2s511,5
c2g2s512,5
c2g2s513,5
c2g2s514,5
c2g2s515,5
c2g2s516,5
c2g2s517,5
c2g2s518,5
c2g2s519,5
c2g2s520,5
c2g2s521,5
c2g2s522,5
c2g2s523,5
c2g2s524,5
c2g2s525,5
c2g2s526,5
c2g2s527,5
c2g2s528,5
c2g2s529,5
c2g2s530,5
c2g2s531,5
c2g2s532,5
c2g2s533,5
c2g2s534,5
c2g2s535,5
c2g2s536,5
c2g2s537,5
c2g2s538,5
c2g2s539,5
c2g2s540,5
c2g2s541,5
c2g2s542,5
c2g2s543,5
c2g2s544,5
c2g2s545,5
c2g2s546,5
c2g2s547,5
c2g2s548,5
c2g2s549,5
c2g2s550,5
c2g2s551,5
c2g2s552,5
c2g2s553,5
c2g2s554,5
c2g2s555,5
c2g2s556,5
c2g2s557,5
c2g2s558,5
c2g2s559,5
c2g2s560,5
c2g2s561,5
c2g2s562,5
c2g2s563,5
c2g2s564,5
c2g2s565,5
c2g2s566,5
c2g2s567,5
c2g2s568,5
c2g2s569,5
c2g2s570,5
c2g2s571,5
c2g2s572,5
c2g2s573,5
c2g2s574,5
c2g2s575,5
c2g2s576,5
c2g2s577,5
c2g2s578,5
c2g2s579,5
c2g2s580,5
c2g2s581,5
c2g2s582,5
c2g2s583,5
c2g2s584,5
c2g2s585,5
c2g2s586,5
c2g2s587,5
c2g2s588,5
c2g2s589,5
c2g2s590,5
c2g2s591,5
c2g2s592,5
c2g2s593,5
c2g2s594,5
c2g2s595,5
c2g2s596,5
c2g2s597,5
c2g2s598,5
c2g2s599,5
c2g2s600,5
c2g2s601,5
c2g2s602,5
c2g2s603,5
c2g2s604,5
c2g2s605,5
c2g2s606,5
c2g2s607,5
c2g2s608,5
c2g2s609,5
c2g2s610,5
c2g2s611,5
c2g2s612,5
c2g2s613,5
c2g2s614,5
c2g2s615,5
c2g2s616,5
c2g2s617,5
c2g2s618,5
c2g2s619,5
c2g2s620,5
c2g2s621,5
c2g2s622,5
c2g2s623,5
c2g2s624,5
c2g2s625,5
c2g2s626,5
c2g2s627,5
c2g2s628,5
c2g2s629,5
c2g2s630,5
c2g2s631,5
c2g2s632,5
c2g2s633,5
c2g2s634,5
c2g2s635,5
c2g2s636,5
c2g2s637,5
c2g2s638,5
c2g2s639,5
c2g2s640,5
