sample_label	d1	d2
c2g1s1	8.809783	7.611147
c2g1s2	4.110747	11.103186
c2g1s3	4.11471	11.039587
c2g1s4	3.154736	6.743244
c2g1s5	5.972931	7.537982
c2g1s6	5.330675	7.03301
c2g1s7	5.721986	6.103138
c2g1s8	6.040546	6.567276
c2g1s9	8.010096	9.235093
c2g1s10	8.663637	9.113787
c2g1s11	3.364345	10.19331
c2g1s12	4.23395	10.003093
c2g1s13	6.545098	9.127085
c2g1s14	7.35131	10.731793
c2g1s15	6.600897	9.293019
c2g1s16	8.227767	7.990697
c2g1s17	3.640258	7.066937
c2g1s18	2.616746	8.077674
c2g1s19	4.698015	7.995143
c2g1s20	4.663209	9.719093
c2g1s21	6.889547	10.594419
c2g1s22	4.474191	8.945728
c2g1s23	7.822474	6.546626
c2g1s24	5.325493	5.438902
c2g1s25	4.271755	7.876889
c2g1s26	3.77916	7.983635
c2g1s27	6.642428	7.317616
c2g1s28	6.10352	8.246751
c2g1s29	8.280682	8.250152
c2g1s30	3.83098	11.027824
c2g1s31	6.018995	9.116624
c2g1s32	3.901034	7.045717
c2g1s33	8.280581	8.204739
c2g1s34	6.219908	5.360467
c2g1s35	5.042382	6.955637
c2g1s36	3.817093	6.841828
c2g1s37	3.955995	5.91963
c2g1s38	6.628717	9.448322
c2g1s39	2.822353	9.205873
c2g1s40	6.903825	8.486555
c2g1s41	3.363976	9.243669
c2g1s42	6.818036	6.262664
c2g1s43	4.14466	6.782835
c2g1s44	7.572984	6.063416
c2g1s45	3.987722	5.900285
c2g1s46	4.270627	8.432667
c2g1s47	5.926263	8.145282
c2g1s48	4.500541	9.591276
c2g1s49	5.120171	7.886808
c2g1s50	3.026431	8.199161
c2g1s51	3.384014	10.567839
c2g1s52	5.077119	11.421814
c2g1s53	2.530788	8.254285
c2g1s54	3.71645	7.269865
c2g1s55	3.544159	9.030493
c2g1s56	5.082348	5.956756
c2g1s57	7.92763	10.868154
c2g1s58	8.124846	6.988325
c2g1s59	4.221655	9.035337
c2g1s60	4.466817	9.909351
c2g1s61	4.411248	10.22585
c2g1s62	5.89719	7.23744
c2g1s63	5.529004	9.789156
c2g1s64	5.767066	10.772608
c2g1s65	8.72135	9.249069
c2g1s66	7.539044	11.218934
c2g1s67	8.573203	8.459427
c2g1s68	4.655552	9.116182
c2g1s69	3.583182	7.966725
c2g1s70	5.451029	9.655049
c2g1s71	7.162684	6.837426
c2g1s72	8.821867	8.343967
c2g1s73	8.701482	8.446791
c2g1s74	8.572971	7.615591
c2g1s75	5.683246	11.425206
c2g1s76	8.77466	7.663022
c2g1s77	5.941045	8.100747
c2g1s78	8.689203	7.930233
c2g1s79	4.816315	8.632522
c2g1s80	3.302916	8.45439
c2g1s81	6.076416	8.800519
c2g1s82	7.387504	9.878985
c2g1s83	3.942558	7.579624
c2g1s84	3.856414	10.752869
c2g1s85	3.49162	7.01771
c2g1s86	3.185159	7.260653
c2g1s87	8.395014	8.584327
c2g1s88	7.901698	8.27353
c2g1s89	5.915924	6.473233
c2g1s90	8.113762	9.805755
c2g1s91	8.906678	8.36598
c2g1s92	3.680145	7.058862
c2g1s93	2.640986	9.436634
c2g1s94	5.70142	11.716258
c2g1s95	7.047834	7.001495
c2g1s96	7.889127	8.719205
c2g1s97	8.564286	9.64051
c2g1s98	4.034939	6.434837
c2g1s99	2.936636	9.408366
c2g1s100	6.34256	8.522129
c2g1s101	5.564799	11.782053
c2g1s102	5.638808	6.462198
c2g1s103	2.621903	8.410019
c2g1s104	3.808206	7.439472
c2g1s105	7.227411	8.536152
c2g1s106	3.861763	10.06109
c2g1s107	8.959066	9.002758
c2g1s108	7.697727	6.621125
c2g1s109	5.040287	8.038429
c2g1s110	7.053254	8.030483
c2g1s111	3.692062	10.515866
c2g1s112	6.402681	10.223146
c2g1s113	7.122527	8.46473
c2g1s114	7.271412	7.036915
c2g1s115	6.868124	6.571746
c2g1s116	7.356935	10.243612
c2g1s117	3.006407	9.183741
c2g1s118	4.199764	7.107236
c2g1s119	6.17442	10.448582
c2g1s120	5.079368	6.488869
c2g1s121	7.817797	8.338799
c2g1s122	2.793956	9.520861
c2g1s123	8.009822	10.74096
c2g1s124	8.024825	8.863487
c2g1s125	4.699555	7.504381
c2g1s126	2.562495	8.079812
c2g1s127	5.632573	6.767617
c2g1s128	7.137982	6.728472
c2g1s129	8.945217	8.180662
c2g1s130	8.523859	7.131622
c2g1s131	7.548685	9.802669
c2g1s132	7.90511	10.747605
c2g1s133	7.174712	5.758117
c2g1s134	8.528386	8.53793
c2g1s135	5.160959	6.827317
c2g1s136	3.885911	8.255789
c2g1s137	3.831129	8.342843
c2g1s138	6.345714	9.618766
c2g1s139	7.678096	6.858757
c2g1s140	8.574906	8.69038
c2g1s141	7.123591	9.761013
c2g1s142	4.80549	9.978064
c2g1s143	3.763094	8.826543
c2g1s144	7.477617	9.28466
c2g1s145	7.006003	6.89464
c2g1s146	3.24259	8.421957
c2g1s147	4.618501	11.377746
c2g1s148	5.93963	7.930589
c2g1s149	3.285343	9.454054
c2g1s150	2.969354	9.505102
c2g1s151	8.847998	9.080009
c2g1s152	8.806343	9.567356
c2g1s153	2.718066	7.75542
c2g1s154	3.971161	6.233037
c2g1s155	5.506101	7.086634
c2g1s156	7.939039	7.819224
c2g1s157	8.596002	9.927725
c2g1s158	8.498158	6.867354
c2g1s159	7.904163	8.741033
c2g1s160	4.852698	9.200387
c2g1s161	4.306137	6.073319
c2g1s162	6.258385	9.853328
c2g1s163	6.064728	6.02091
c2g1s164	8.966928	8.95958
c2g1s165	5.99698	8.140191
c2g1s166	5.765582	6.277915
c2g1s167	5.263739	10.820123
c2g1s168	5.05527	7.771155
c2g1s169	7.397968	10.01612
c2g1s170	8.881543	8.929928
c2g1s171	5.512438	8.852768
c2g1s172	3.204656	8.819695
c2g1s173	4.536742	9.952325
c2g1s174	6.762054	5.852462
c2g1s175	5.296388	9.344788
c2g1s176	8.448701	8.235682
c2g1s177	8.457545	9.76995
c2g1s178	3.665359	8.280731
c2g1s179	4.901591	7.956638
c2g1s180	3.888699	7.838181
c2g1s181	4.082804	9.875242
c2g1s182	5.679918	7.108591
c2g1s183	2.709614	7.699506
